Categoria,Categoria,Categoria,Categoria,Detalle,Inicio,Fin,Cantidad,Unidad,Costo unitario USD,Subtotal USD,Tipo de costo,Observacion,,
Personal,Recurso humano por actividad,1.1,Levantamiento de información,Analista de proyectos junior,07-01-26,07-13-26,64,hora,8.00,512.00,Directo,Estimado segun actividad del XML de planificacion,,
Personal,Recurso humano por actividad,1.2,Realización de encuestas,Analista de proyectos junior,07-01-26,07-08-26,40,hora,8.00,320.00,Directo,Estimado segun actividad del XML de planificacion,,
Personal,Recurso humano por actividad,1.3,Socializar y recibir la información,Gestor de proyecto senior,07-14-26,07-17-26,24,hora,16.00,384.00,Directo,Estimado segun actividad del XML de planificacion,,
Personal,Recurso humano por actividad,04-01-01,Requerimientos funcionales,Analista de proyectos senior,07-17-26,07-27-26,40,hora,14.00,560.00,Directo,Estimado segun actividad del XML de planificacion,,
Personal,Recurso humano por actividad,04-01-02,Requerimientos no funcionales,Analista de proyectos senior,07-27-26,08-03-26,32,hora,14.00,448.00,Directo,Estimado segun actividad del XML de planificacion,,
Personal,Recurso humano por actividad,05-01-01,Diseño de arquitectura del sistema,Arquitecto de software senior,08-03-26,08-07-26,24,hora,18.00,432.00,Directo,Estimado segun actividad del XML de planificacion,,
Personal,Recurso humano por actividad,05-01-02,Diseño de base de datos y relaciones,Disenador de base de datos junior,08-07-26,08-13-26,24,hora,10.00,240.00,Directo,Estimado segun actividad del XML de planificacion,,
Personal,Recurso humano por actividad,05-01-03,Diseño de interfaz y experiencia de usuario,Disenador UX/UI junior,08-07-26,08-14-26,32,hora,9.00,288.00,Directo,Estimado segun actividad del XML de planificacion,,
Personal,Recurso humano por actividad,05-01-04,Diseño de accesibilidad y navegación por teclado,Disenador UX/UI senior,08-14-26,08-19-26,16,hora,15.00,240.00,Directo,Estimado segun actividad del XML de planificacion,,
Personal,Recurso humano por actividad,05-01-05,Validación del diseño con criterios de usabilidad,QA tester junior,08-19-26,08-24-26,16,hora,7.00,112.00,Directo,Estimado segun actividad del XML de planificacion,,
Personal,Apoyo profesional,,Revision tecnica senior,"Revision de arquitectura, despliegue y riesgos",,,8,hora,18.00,144.00,Directo,Apoyo puntual para mejorar calidad tecnica,,
Personal,Apoyo profesional,,Revision de accesibilidad,Evaluacion heuristica y navegacion por teclado,,,8,hora,15.00,120.00,Directo,Incluye criterios WCAG y usabilidad,,
Personal,Apoyo profesional,,Soporte de documentacion,"Informe, anexos, capturas y evidencias",,,10,hora,7.00,70.00,Directo,Preparacion academica del informe,,
Software,Sistema operativo,,Linux para desarrollo,Distribucion Linux instalada en equipo del proyecto,,,1,licencia,0.00,0.00,Indirecto,Software libre sin costo de licencia,,
Software,Sistema operativo,,Windows de referencia,Equipo alterno o laboratorio para pruebas de compatibilidad,,,1,licencia,0.00,0.00,Indirecto,Uso academico o licencia existente,,
Software,Lenguaje de programacion,,JavaScript,Lenguaje principal del portal web,,,1,recurso,0.00,0.00,Directo,Sin costo de licencia,,
Software,Lenguaje de consulta,,SQL,Consultas y estructura de base de datos,,,1,recurso,0.00,0.00,Directo,Sin costo de licencia,,
Software,Frameworks y librerias,,React,Interfaz del portal empresarial,,,1,recurso,0.00,0.00,Directo,Open source,,
Software,Frameworks y librerias,,Node.js y Express,Servidor y API del portal,,,1,recurso,0.00,0.00,Directo,Open source,,
Software,Base de datos,,PostgreSQL,Motor de base de datos,,,1,recurso,0.00,0.00,Directo,Open source,,
Software,Gestion del proyecto,,ProjectLibre,Planificacion y archivo XML del cronograma,,,1,recurso,0.00,0.00,Directo,Open source,,
Software,Ofimatica,,LibreOffice o OnlyOffice,"Edicion de documentos, tablas y presentaciones",,,1,recurso,0.00,0.00,Indirecto,Alternativa gratuita/open source,,
Software,Diseno,,Figma o Canva plan gratuito,"Bocetos, prototipos y material visual",,,1,recurso,0.00,0.00,Directo,Plan gratuito suficiente para demo,,
Software,Encuestas,,Tally plan gratuito,Cuestionario y recoleccion de respuestas,,,1,recurso,0.00,0.00,Directo,Plan gratuito para cuestionario demo,,
Software,Control de versiones,,Git y GitHub,"Repositorio, historial y colaboracion",,,1,recurso,0.00,0.00,Directo,Uso gratuito para proyecto academico,,
Infraestructura,Equipo de trabajo,,Computador del desarrollador,Uso proporcional del equipo personal,,,1,mes,80.00,80.00,Indirecto,Depreciacion estimada del equipo,,
Infraestructura,Equipo de trabajo,,Perifericos de diseno y pruebas,"Mouse, teclado, monitor o accesorios",,,1,paquete,25.00,25.00,Indirecto,Uso proporcional,,
Infraestructura,Conectividad,,Internet,"Conexion para investigacion, pruebas y despliegue",,,1,mes,25.00,25.00,Indirecto,Costo proporcional del proyecto,,
Infraestructura,Energia,,Electricidad,Uso de equipo durante desarrollo y pruebas,,,1,mes,12.00,12.00,Indirecto,Estimacion academica,,
Infraestructura,Servidor demo,,Vercel Hobby,Alojamiento del frontend para demostracion,,,1,mes,0.00,0.00,Directo,Plan gratuito para demo,,
Infraestructura,Base de datos demo,,Neon Free,Base PostgreSQL administrada,,,1,mes,0.00,0.00,Directo,Plan gratuito para demo,,
Infraestructura,Backend demo,,Servicio de backend,"Render, Railway o servidor equivalente",,,1,mes,7.00,7.00,Directo,Estimado si se requiere API activa 24/7,,
Infraestructura,Respaldo,,Almacenamiento en nube,Copia de seguridad de documentos y evidencias,,,1,mes,5.00,5.00,Indirecto,Estimado basico,,
Materiales de oficina,Papeleria,,Hojas e impresiones,"Rubricas, encuestas, borradores y anexos",,,1,paquete,10.00,10.00,Indirecto,Material para entregables,,
Materiales de oficina,Papeleria,,Carpeta y separadores,Organizacion fisica del informe si se solicita,,,1,paquete,6.00,6.00,Indirecto,Costo academico,,
Materiales de oficina,Utiles,,Lapiceros y marcadores,Trabajo de levantamiento y revision,,,1,paquete,5.00,5.00,Indirecto,Costo academico,,
Materiales de oficina,Comunicacion,,Movilizacion o reuniones,Traslado o apoyo para socializar informacion,,,1,estimado,15.00,15.00,Indirecto,Costo proporcional,,
Contingencia,Reserva,,Contingencia del proyecto,"Margen para ajustes de diseno, pruebas o despliegue",,,1,estimado,120.00,120.00,Indirecto,Reserva prudente para imprevistos,,

Resumen por categoria,,,,,,,,,,,,,,
Personal,3870.00,,,,,,,,,,,,,
Software,0.00,,,,,,,,,,,,,
Infraestructura,154.00,,,,,,,,,,,,,
Materiales de oficina,36.00,,,,,,,,,,,,,
Contingencia,120.00,,,,,,,,,,,,,
Total general,4180.00,,,,,,,,
